session_id,feedback_date,satisfaction_rating,liked_aspects_category,areas_for_improvement_category
1,2023-10-20 21:18:11.605,5,Overall Positive,Logistics and Quality
1,2023-10-20 21:18:17.436,5,Other,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:18:19.383,5,Environment,Movie Selection
1,2023-10-20 21:18:32.931,5,Movie Selection,Logistics and Quality
1,2023-10-20 21:18:50.588,4,Environment,Movie Selection
1,2023-10-20 21:18:58.678,5,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:19:00.282,3,Overall Positive,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:19:11.227,5,Movie Selection,Logistics and Quality
1,2023-10-20 21:20:06.554,2,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:20:16.148,5,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:20:32.550,5,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:20:40.224,1,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:21:47.452,4,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:22:07.840,5,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:22:20.019,5,Overall Positive,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:25:20.499,5,Movie Selection,No Feedback
1,2023-10-20 21:25:42.361,5,Environment,No Feedback
1,2023-10-20 21:25:58.445,5,Movie Selection,Other
1,2023-10-20 21:26:55.295,4,Overall Positive,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:28:54.075,5,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:31:04.090,5,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:31:13.367,4,Other,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:32:03.049,5,Environment,Logistics and Quality
1,2023-10-20 21:32:57.796,4,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:40:36.975,4,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:40:51.778,4,Movie Selection,Logistics and Quality
1,2023-10-20 21:40:55.247,4,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:42:37.374,5,Environment,Logistics and Quality
1,2023-10-20 22:02:58.783,2,Movie Selection,Movie Selection
1,2023-10-20 22:05:54.403,5,Overall Positive,Positive Feedback (No Improvement Needed)
1,2023-10-20 22:16:37.843,4,Movie Selection,Other
1,2023-10-20 23:06:45.094,4,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-21 12:32:27.856,3,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-21 14:01:10.874,5,Environment,Positive Feedback (No Improvement Needed)
2,2023-11-06 20:50:16.238,5,Overall Positive,Positive Feedback (No Improvement Needed)
2,2023-11-06 20:52:29.940,3,Other,Positive Feedback (No Improvement Needed)
2,2023-11-06 20:52:55.968,5,Overall Positive,Logistics and Quality
2,2023-11-06 20:52:59.033,5,Environment,Other
2,2023-11-06 20:54:08.551,5,No Feedback,No Feedback
2,2023-11-06 20:54:25.226,4,Movie Selection,Positive Feedback (No Improvement Needed)
2,2023-11-06 20:54:44.254,5,Overall Positive,Logistics and Quality
2,2023-11-06 20:55:04.599,5,Other,Other
2,2023-11-06 20:56:19.361,4,Movie Selection,Logistics and Quality
2,2023-11-06 21:00:03.251,5,Other,Other
2,2023-11-06 21:00:56.402,2,Environment,Positive Feedback (No Improvement Needed)
2,2023-11-06 21:02:09.676,4,Environment,Logistics and Quality
2,2023-11-06 21:04:48.065,5,Organization,Positive Feedback (No Improvement Needed)
2,2023-11-06 21:05:48.409,5,Organization,Logistics and Quality
2,2023-11-06 21:08:10.178,3,Overall Positive,Positive Feedback (No Improvement Needed)
2,2023-11-06 21:10:43.649,5,Movie Selection,Positive Feedback (No Improvement Needed)
2,2023-11-06 21:30:05.590,5,Overall Positive,Positive Feedback (No Improvement Needed)
2,2023-11-07 07:03:19.335,4,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:55:54.111,5,No Feedback,No Feedback
3,2023-11-23 21:55:59.622,5,Movie Selection,No Feedback
3,2023-11-23 21:56:28.295,5,Movie Selection,Movie Selection
3,2023-11-23 21:56:31.827,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:56:31.841,5,Other,Movie Selection
3,2023-11-23 21:56:44.684,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:56:55.352,5,Overall Positive,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:56:56.214,5,Environment,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:57:21.437,5,Overall Positive,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:57:22.663,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:57:48.239,5,Overall Positive,Movie Selection
3,2023-11-23 21:58:41.122,5,Overall Positive,Other
3,2023-11-23 21:59:17.554,5,Overall Positive,Logistics and Quality
3,2023-11-23 21:59:34.938,4,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:00:15.912,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:01:46.381,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:03:27.371,5,Environment,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:05:05.839,4,Movie Selection,Logistics and Quality
3,2023-11-23 22:08:26.974,5,Movie Selection,Logistics and Quality
3,2023-11-23 22:08:38.277,5,Environment,Logistics and Quality
3,2023-11-23 22:09:02.940,5,Environment,Logistics and Quality
3,2023-11-23 22:10:04.984,5,Overall Positive,Logistics and Quality
3,2023-11-23 22:11:13.568,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:13:52.248,5,Environment,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:14:28.147,4,Overall Positive,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:17:35.479,5,Movie Selection,Movie Selection
3,2023-11-23 22:27:34.073,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 23:07:09.224,5,Movie Selection,Logistics and Quality
3,2023-11-24 00:10:08.873,4,Other,Positive Feedback (No Improvement Needed)
3,2023-11-24 06:32:00.737,5,Movie Selection,Positive Feedback (No Improvement Needed)
