participant_id,session_id,registration_date,university_name_proper,major_category,course
1,2,2023-11-01 20:10:45.452,Baku Higher Oil School,Business & Economics,1
2,7,2024-03-05 18:37:38.605,Baku Higher Oil School,STEM,Foundation
3,11,2025-01-28 12:44:15.940,Azerbaijan State Oil and Industry University,STEM,4
4,2,2023-11-01 19:03:13.035,Baku Higher Oil School,STEM,Foundation
4,6,2024-02-10 01:35:32.278,Baku Higher Oil School,STEM,Foundation
5,1,2023-10-15 22:54:46.875,Baku Higher Oil School,STEM,Foundation
6,3,2023-11-19 18:49:33.883,Baku Higher Oil School,STEM,Foundation
7,5,2023-12-28 15:47:54.091,Baku Higher Oil School,STEM,Foundation
7,6,2024-02-13 13:13:52.304,Baku Higher Oil School,STEM,Foundation
7,7,2024-03-02 19:16:07.852,Baku Higher Oil School,STEM,Foundation
8,2,2023-11-01 19:04:11.833,Baku Higher Oil School,STEM,Foundation
9,3,2023-11-19 15:01:41.638,Baku Higher Oil School,Business & Economics,Foundation
10,1,2023-10-14 18:42:58.890,Baku Higher Oil School,Business & Economics,Foundation
10,2,2023-11-01 19:03:42.980,Baku Higher Oil School,Business & Economics,Foundation
11,5,2023-12-26 15:53:17.746,Baku Higher Oil School,Business & Economics,Foundation
12,10,2024-12-24 12:52:02.994,Baku Higher Oil School,STEM,Foundation
12,12,2025-03-12 15:21:08.357,Baku Higher Oil School,STEM,Foundation
13,13,2025-05-19 18:34:26.089,Baku Higher Oil School,STEM,Foundation
14,9,2024-10-03 14:35:07.734,Baku Higher Oil School,STEM,Foundation
15,11,2025-01-27 18:29:37.567,Baku Higher Oil School,STEM,2
16,9,2024-10-04 10:15:03.860,Baku Higher Oil School,STEM,Foundation
17,12,2025-03-13 22:16:21.251,Baku Higher Oil School,STEM,Foundation
18,2,2023-11-02 11:01:28.385,Baku Higher Oil School,STEM,Foundation
18,3,2023-11-21 21:32:01.711,Baku Higher Oil School,STEM,Foundation
18,6,2024-02-09 19:49:39.560,Baku Higher Oil School,STEM,Foundation
18,7,2024-03-02 18:38:11.561,Baku Higher Oil School,STEM,Foundation
18,8,2024-05-31 15:55:04.302,Azerbaijan State Academy of Physical Education and Sport,Education & Environmental Studies,3
18,11,2025-01-27 18:40:53.682,Baku Higher Oil School,STEM,Foundation
19,7,2024-03-02 19:58:38.739,Baku Higher Oil School,Business & Economics,Foundation
20,11,2025-01-27 20:50:23.569,Baku Higher Oil School,STEM,3
21,11,2025-01-30 10:37:27.847,Baku Higher Oil School,STEM,2
22,2,2023-11-01 22:32:43.611,Baku Higher Oil School,STEM,1
23,10,2024-12-25 20:52:44.098,Baku State University,"Arts, Humanities & Social Sciences",2
24,6,2024-02-09 19:07:39.021,Azerbaijan State Oil and Industry University,STEM,3
25,7,2024-03-03 14:27:14.050,Baku Higher Oil School,STEM,2
25,8,2024-05-31 16:54:54.546,Baku Higher Oil School,STEM,2
25,9,2024-10-04 19:34:30.814,Baku Higher Oil School,STEM,3
26,11,2025-01-30 08:47:39.293,Baku Higher Oil School,Business & Economics,Foundation
27,7,2024-03-04 13:16:54.312,Baku Higher Oil School,STEM,Foundation
28,8,2024-05-30 21:34:24.551,Baku Higher Oil School,STEM,Foundation
28,12,2025-03-13 02:34:36.597,Baku Higher Oil School,STEM,1
29,3,2023-11-19 19:44:36.076,Baku Higher Oil School,STEM,Foundation
30,4,2023-12-05 14:47:01.989,Baku Higher Oil School,STEM,Foundation
31,1,2023-10-15 22:23:29.237,Baku Higher Oil School,STEM,Foundation
31,2,2023-11-02 07:43:03.751,Baku Higher Oil School,STEM,Foundation
31,4,2023-12-05 14:05:15.862,Baku Higher Oil School,STEM,Foundation
32,1,2023-10-16 19:22:03.973,Baku Higher Oil School,STEM,Foundation
33,6,2024-02-09 19:00:52.704,Baku Higher Oil School,STEM,5
34,11,2025-01-27 18:35:52.679,Khazar University,"Arts, Humanities & Social Sciences",3
35,2,2023-11-01 19:02:14.991,Baku Higher Oil School,STEM,4
36,6,2024-02-09 19:25:34.340,Azerbaijan State Pedagogical University,Education & Environmental Studies,2
36,7,2024-03-02 18:41:38.626,Baku Higher Oil School,Education & Environmental Studies,2
37,10,2024-12-24 12:21:37.147,Baku Higher Oil School,STEM,Foundation
37,11,2025-01-27 18:28:50.042,Baku Higher Oil School,STEM,Foundation
38,8,2024-05-31 23:27:38.750,Azerbaijan State University of Economics (UNEC),Business & Economics,1
39,9,2024-10-03 07:42:11.653,Baku Higher Oil School,STEM,Foundation
39,12,2025-03-12 15:11:16.614,Baku Higher Oil School,STEM,Foundation
40,13,2025-05-18 15:51:02.901,Baku Higher Oil School,STEM,Foundation
41,10,2024-12-24 12:20:50.100,Baku Higher Oil School,STEM,Foundation
42,13,2025-05-19 17:33:44.960,Baku Higher Oil School,STEM,Foundation
43,10,2024-12-24 13:51:32.720,Baku Higher Oil School,STEM,Foundation
44,9,2024-10-03 10:34:06.399,Baku Higher Oil School,STEM,Foundation
44,11,2025-01-27 19:58:23.990,Baku Higher Oil School,STEM,Foundation
44,13,2025-05-18 18:10:07.021,Baku Higher Oil School,STEM,Foundation
45,11,2025-01-27 18:33:22.361,Baku Higher Oil School,STEM,Foundation
45,12,2025-03-12 15:34:36.259,Baku Higher Oil School,STEM,Foundation
